Test Function,Algorithm,Trial,Best Score,Time (s)
Knapsack,ACO-binary,1,20,0.109614
Knapsack,ACO-binary,2,20,0.109549
Knapsack,ACO-binary,3,20,0.110083
Knapsack,ACO-binary,4,20,0.110109
Knapsack,ACO-binary,5,20,0.103905
Knapsack,ACO-binary,6,20,0.110998
Knapsack,ACO-binary,7,16,0.119603
Knapsack,ACO-binary,8,20,0.121664
Knapsack,ACO-binary,9,20,0.113353
Knapsack,ACO-binary,10,20,0.115090
Knapsack,ACO-binary,11,20,0.116817
Knapsack,ACO-binary,12,20,0.117424
Knapsack,ACO-binary,13,20,0.114902
Knapsack,ACO-binary,14,20,0.124543
Knapsack,ACO-binary,15,20,0.125257
Knapsack,ACO-binary,16,20,0.131504
Knapsack,ACO-binary,17,20,0.124681
Knapsack,ACO-binary,18,20,0.119250
Knapsack,ACO-binary,19,20,0.119987
Knapsack,ACO-binary,20,20,0.125960
Knapsack,ACO-binary,21,20,0.142535
Knapsack,ABC-binary,1,20,0.183018
Knapsack,ABC-binary,2,20,0.168941
Knapsack,ABC-binary,3,20,0.180967
Knapsack,ABC-binary,4,20,0.168372
Knapsack,ABC-binary,5,20,0.167871
Knapsack,ABC-binary,6,20,0.190177
Knapsack,ABC-binary,7,20,0.175201
Knapsack,ABC-binary,8,20,0.188286
Knapsack,ABC-binary,9,20,0.183907
Knapsack,ABC-binary,10,20,0.175683
Knapsack,ABC-binary,11,20,0.175212
Knapsack,ABC-binary,12,20,0.280451
Knapsack,ABC-binary,13,20,0.175002
Knapsack,ABC-binary,14,20,0.175082
Knapsack,ABC-binary,15,20,0.179900
Knapsack,ABC-binary,16,20,0.190464
Knapsack,ABC-binary,17,20,0.194545
Knapsack,ABC-binary,18,20,0.189813
Knapsack,ABC-binary,19,20,0.179945
Knapsack,ABC-binary,20,20,0.188787
Knapsack,ABC-binary,21,20,0.180829
Knapsack,PSO-binary,1,20,0.060163
Knapsack,PSO-binary,2,20,0.066705
Knapsack,PSO-binary,3,20,0.051212
Knapsack,PSO-binary,4,20,0.049613
Knapsack,PSO-binary,5,20,0.059310
Knapsack,PSO-binary,6,20,0.056279
Knapsack,PSO-binary,7,20,0.051810
Knapsack,PSO-binary,8,20,0.055026
